data;consap
2002/01;67.9887291102487
2002/02;63.0816185207988
2002/03;70.9763897052678
2002/04;74.485755054809
2002/05;72.3776052028075
2002/06;67.1531843062043
2002/07;75.168800333091
2002/08;76.4168987585841
2002/09;73.8763790206257
2002/10;85.4327657937348
2002/11;81.1787848464027
2002/12;68.8658046102468
2003/01;63.7395665048549
2003/02;61.6778371232457
2003/03;64.6653323021778
2003/04;65.0181142250403
2003/05;69.8894023846946
2003/06;65.6080119806745
2003/07;69.8629443181304
2003/08;68.6652844309189
2003/09;74.3808427812379
2003/10;78.903680186929
2003/11;72.343473951
2003/12;63.0831555061602
2004/01;62.8995287794226
2004/02;59.6304914388759
2004/03;73.853604710486
2004/04;68.729380436474
2004/05;73.5170179380849
2004/06;73.636653778119
2004/07;77.1521227946499
2004/08;77.8873614364764
2004/09;80.378094192751
2004/10;79.0071944559452
2004/11;81.1880292576355
2004/12;71.3711030114472
2005/01;67.4444816141459
2005/02;62.2977905843889
2005/03;73.518526620913
2005/04;71.8007840769697
2005/05;75.0934331988243
2005/06;77.0925403807923
2005/07;75.5893570062877
2005/08;81.9210683219301
2005/09;78.4432531012593
2005/10;79.0389480628965
2005/11;82.0103565519246
2005/12;74.4787816935981
2006/01;70.2674885352136
2006/02;66.2767583399129
2006/03;78.5265334351885
2006/04;71.8270210481949
2006/05;83.2186490698904
2006/06;79.7073089036691
2006/07;81.9172628781695
2006/08;86.3463760364318
2006/09;82.3568251968511
2006/10;85.9656196969785
2006/11;86.1542244634193
2006/12;77.2567483067689
2007/01;72.5641273012368
2007/02;70.1105166802485
2007/03;84.2972147718492
2007/04;77.2546870389191
2007/05;89.0147925743793
2007/06;85.177232483192
2007/07;87.1290336472781
2007/08;94.3871137348189
2007/09;88.9559563162495
2007/10;98.7136866201448
2007/11;93.1744675444767
2007/12;78.9334582325538
2008/01;82.7805985891236
2008/02;77.6483577882887
2008/03;86.1416485457823
2008/04;91.0361383670063
2008/05;93.3216323045881
2008/06;93.1122654806552
2008/07;98.1176951433705
2008/08;97.7068884622525
